"","nGene","nUMI","orig.ident","S.Score","G2M.Score","Phase","old.ident"
"F8_P1_M45_L001",2437,15577.48,"F8",-0.0922067947603552,-0.136669837734137,"G1","F8"
"F8_P3_M45_L001",1917,12775.92,"F8",-0.0479369138361284,-0.0781888639538361,"G1","F8"
"F8_P4_M45_L001",2132,13910.93,"F8",-0.111071866899506,-0.0900029191972595,"G1","F8"
"F8_P5_M45_L001",1971,13543.64,"F8",0.0334947503294322,-0.0724190659441828,"S","F8"
"F9_P1_M45_L001",1554,10869.44,"F9",0.0213763471291462,-0.0199792715602722,"S","F9"
"F9_P3_M45_L001",2378,15426.81,"F9",0.0363473528081379,0.0274439619321649,"S","F9"
"F9_P4_M45_L001",1942,13607.97,"F9",-0.0948926043991931,-0.169275818449885,"G1","F9"
"F9_P5_M45_L001",2085,13951.83,"F9",-0.0317297071175027,-0.102998918411136,"G1","F9"
"G10_P1_M45_L001",4049,20970.67,"G10",-0.00783697593045782,-0.0631685218482448,"G1","G10"
"G10_P3_M45_L001",2699,16843.38,"G10",0.020616272171807,-0.0663743824474571,"S","G10"
"G10_P4_M45_L001",1847,12662.81,"G10",-0.11189185320515,-0.0263248117585274,"G1","G10"
"G10_P5_M45_L001",1777,12624.93,"G10",-0.0396442088658544,-0.0736746781866006,"G1","G10"
"G11_P1_M45_L001",1445,9991.31,"G11",0.00192165442557199,-0.0770702445167792,"S","G11"
"G11_P3_M45_L001",2133,14564.26,"G11",-0.118368181968395,0.0494517754840514,"G2M","G11"
"G11_P4_M45_L001",2080,14248.25,"G11",0.0405927805340619,-0.0416469506104132,"S","G11"
"G12_P1_M45_L001",1931,12257.44,"G12",-0.141537351254931,0.000262250031252881,"G2M","G12"
"G12_P3_M45_L001",2221,15352.19,"G12",-0.0367060733263165,0.0365907111860162,"G2M","G12"
"G12_P4_M45_L001",2183,14185.89,"G12",-0.0815266941863418,-0.0645866162105491,"G1","G12"
"G12_P5_M45_L001",2740,17533.78,"G12",-0.0737062651927771,-0.0721781066740213,"G1","G12"
"G1_P1_M45_L001",1735,11856.08,"G1",-0.046364246351513,-0.0923544307080382,"G1","G1"
"G1_P3_M45_L001",1905,12799.41,"G1",-0.0488794703369732,-0.104301795511757,"G1","G1"
"G1_P4_M45_L001",1810,11265.77,"G1",0.0392923430217642,-0.128674115904352,"S","G1"
"G1_P5_M45_L001",2021,13460.86,"G1",0.0756986010304756,-0.0898355372558284,"S","G1"
"G2_P1_M45_L001",1747,12299.08,"G2",-0.0235428273843951,0.040914566031661,"G2M","G2"
"G2_P3_M45_L001",2058,14828.44,"G2",-0.0266466924018207,-0.16369518910715,"G1","G2"
"G2_P5_M45_L001",1591,11034.88,"G2",0.0628397164194764,-0.0130825585349924,"S","G2"
"G3_P1_M45_L001",2460,15664.67,"G3",-0.121093028398475,-0.107031895498787,"G1","G3"
"G3_P3_M45_L001",1909,12595.95,"G3",-0.1017069534392,-0.0969070293552111,"G1","G3"
"G3_P4_M45_L001",1967,12681.63,"G3",-0.0570639513257374,-0.107190424445566,"G1","G3"
"G4_P1_M45_L001",1722,11556.76,"G4",-0.127189907557323,-0.00136373512389817,"G1","G4"
"G4_P3_M45_L001",1850,12199.5,"G4",-0.132520956865849,-0.0558312120742735,"G1","G4"
"G4_P4_M45_L001",2037,13576.7,"G4",-0.016856808089747,-0.0853057484050983,"G1","G4"
"G4_P5_M45_L001",1567,10481.59,"G4",0.0226918789467717,0.0515051750828138,"G2M","G4"
"G5_P1_M45_L001",1693,10886.46,"G5",-0.0896738100711603,-0.169338898782685,"G1","G5"
"G5_P3_M45_L001",2002,13804.19,"G5",-0.0659625938766313,-0.0630031516789266,"G1","G5"
"G5_P4_M45_L001",1820,11980.19,"G5",-0.0940279680463921,-0.0855995161825464,"G1","G5"
"G5_P5_M45_L001",1720,11653.52,"G5",-0.0255552765376767,-0.096617150916717,"G1","G5"
"G6_P1_M45_L001",1784,12203.63,"G6",-0.0689301967221649,0.0677387989996287,"G2M","G6"
"G6_P4_M45_L001",1465,9993.89,"G6",-0.131717607814302,-0.074011705838234,"G1","G6"
"G6_P5_M45_L001",1700,11649.77,"G6",-0.0451660015897106,-0.0551696397468817,"G1","G6"
"G7_P4_M45_L001",2268,15274.96,"G7",-0.019777062876487,-0.0711991219869997,"G1","G7"
"G7_P5_M45_L001",1945,12902.06,"G7",0.0384059823190921,-0.110627025349916,"S","G7"
"G8_P1_M45_L001",2411,14998.7,"G8",0.0219002767728953,-0.0997628881864851,"S","G8"
