id	filename	md5	size	state
0436168e-36ed-42e9-9ee9-d9aaf661547b	0436168e-36ed-42e9-9ee9-d9aaf661547b/6999d309-8502-49ee-8d80-9d0bde00081f.htseq.counts.gz	16d4e23927588388086b2a8a1743490c	250749	validated
0767ce65-90d9-430d-9a7f-842a9a262de0	0767ce65-90d9-430d-9a7f-842a9a262de0/462312a9-821f-4049-9712-b937358a60ce.htseq.counts.gz	6c10b3b4a65cbb0709b4c9ba06599049	254107	validated
0f77c43c-7754-4c4e-a8dd-e4e07694a7a7	0f77c43c-7754-4c4e-a8dd-e4e07694a7a7/071c5b23-9ae3-4bc7-8a07-ce39445c8429.htseq.counts.gz	29f31da33a0e176288b8e79974f1149b	252900	validated
38d8f158-ead0-405a-9d32-aa4f011dee70	38d8f158-ead0-405a-9d32-aa4f011dee70/450cbf36-7dab-46a4-b6b5-d6b99d51083f.htseq.counts.gz	973417b7d987563663c359f6ed330029	253932	validated
50a55f2d-2edc-47eb-b6de-16d467b11d04	50a55f2d-2edc-47eb-b6de-16d467b11d04/0cb461ea-1a40-4f29-97d8-9337a74bc6c7.htseq.counts.gz	5abcc4a52d6ae3d4f4babcc066fc32a2	254882	validated
5395a29c-2349-44c1-bd68-b3989d4799b2	5395a29c-2349-44c1-bd68-b3989d4799b2/3c631c4d-ec26-4f29-abcb-bed2221f3da5.htseq.counts.gz	fdf7bde07cce393de2da8a12f0d8ea3b	255883	validated
59c647c4-8172-4365-a15e-e95ab2100ae6	59c647c4-8172-4365-a15e-e95ab2100ae6/e023c283-afcf-4334-b741-3dce8e98b0f6.htseq.counts.gz	20baf91b9f2c0ec17527e8708d0ac8e2	254434	validated
6ec0bde3-fa24-4eca-ac03-6ace0c331dc1	6ec0bde3-fa24-4eca-ac03-6ace0c331dc1/b1e5ed14-a40e-41a1-b424-a6765ed70286.htseq.counts.gz	df8a1ec08cf1f718b1e714864689b227	260004	validated
73df749a-1614-40f0-abae-4915744ced3c	73df749a-1614-40f0-abae-4915744ced3c/6fdbbe35-6392-4100-8f96-0e0d02257b73.htseq.counts.gz	288110499b266702916e79999cdc4e0c	254841	validated
7ded636b-0e6a-4119-8c65-fe0bd61c9a3f	7ded636b-0e6a-4119-8c65-fe0bd61c9a3f/b576af04-e163-4b7d-be4a-eff959d214dd.htseq.counts.gz	0cc17c33f7657281a6a412479ce65a9b	252921	validated
8392ccf7-ac4b-4264-9e80-860b77463e09	8392ccf7-ac4b-4264-9e80-860b77463e09/aa623193-428e-41b8-b051-2d9693d852f8.htseq.counts.gz	48cf02be38d465b5ce9587b07baa0af1	259222	validated
8bd0e259-f50c-41f2-b12d-9c683ec38ab1	8bd0e259-f50c-41f2-b12d-9c683ec38ab1/4e2d8faa-1d4a-41d6-ad45-a8206cfd9c90.htseq.counts.gz	41011abb0864eacb4ba619d7200607fc	253500	validated
92855612-674b-4a51-84fb-f8641c7921c2	92855612-674b-4a51-84fb-f8641c7921c2/98921931-2f32-470d-97ae-824716d1c034.htseq.counts.gz	cec1e289b42b6cf574fbd84aa6c5344a	251645	validated
a91fb105-8a6f-43b6-99f3-a2a03eb41ee6	a91fb105-8a6f-43b6-99f3-a2a03eb41ee6/352a2653-8001-44cd-852c-288684114104.htseq.counts.gz	114f82a2c264d6d138a519d58d8ed24b	259888	validated
aaad18a4-17b4-43cb-984c-ad491c54b7f6	aaad18a4-17b4-43cb-984c-ad491c54b7f6/f4a128be-6910-49c3-9f0c-b6bd702ab7ce.htseq.counts.gz	cdee0fd19c6105b7ef36578c7c87e23b	259279	validated
af091eb0-baf2-4d5f-9118-8a1a0dc896dc	af091eb0-baf2-4d5f-9118-8a1a0dc896dc/e84e835c-ce99-46bd-a50b-068cfb983143.htseq.counts.gz	6a817c12b51d0543ec8d1a1bb4f40c8a	252106	validated
d8b83d06-a8cf-411f-80f7-cd6847a1f5c7	d8b83d06-a8cf-411f-80f7-cd6847a1f5c7/64262505-9f17-4989-94c9-fc6db56ca676.htseq.counts.gz	84e3124d9ea34fd4962f4143efa25617	256496	validated
e8016e2b-8523-4faf-a967-d66cb09e3697	e8016e2b-8523-4faf-a967-d66cb09e3697/f5d3e683-9177-45fc-93e3-357bf7366ac4.htseq.counts.gz	e2cb7cde00d8634fae748d082254158f	252976	validated
f36a2bbc-ecf7-42ea-9fe2-f9da0d79b9b8	f36a2bbc-ecf7-42ea-9fe2-f9da0d79b9b8/2b5c518f-8327-478a-a282-01bfe59aca4c.htseq.counts.gz	af13d0ed779a76ea1025fd7e92fa2e97	257725	validated
f9099347-6224-4cf5-b3f0-f0c641300959	f9099347-6224-4cf5-b3f0-f0c641300959/fe6c451e-0747-4a02-9d35-59d0a9f4a468.htseq.counts.gz	661808ca6ccd077ede3c0a1d1937bee6	257648	validated
